datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
12/5/18 09:36,3385,3383.4,3376.9,TRUE,1,0,-20,2740,12740,-0.001567398,1.274,1.274
12/5/18 09:37,3388,3385,3377.95,TRUE,1,0,30,2770,12770,0.002354788,1.277,1.277
12/5/18 09:38,3388,3386,3378.8,TRUE,1,0,0,2770,12770,0,1.277,1.277
12/5/18 09:39,3392,3388,3379.8,TRUE,1,0,40,2810,12810,0.003132341,1.281,1.281
12/5/18 09:40,3392,3389,3380.85,TRUE,1,0,0,2810,12810,0,1.281,1.281
12/5/18 09:41,3389,3389.8,3381.65,TRUE,1,0,-30,2780,12780,-0.00234192,1.278,1.278
12/5/18 09:42,3390,3390.2,3382.45,TRUE,1,0,10,2790,12790,0.000782473,1.279,1.279
12/5/18 09:43,3390,3390.6,3383.35,TRUE,1,0,0,2790,12790,0,1.279,1.279
12/5/18 09:44,3389,3390,3384.2,TRUE,1,0,-10,2780,12780,-0.000781861,1.278,1.278
12/5/18 09:45,3390,3389.6,3385.25,TRUE,1,0,10,2790,12790,0.000782473,1.279,1.279
12/5/18 09:46,3388,3389.4,3386,TRUE,1,0,-20,2770,12770,-0.001563722,1.277,1.277
12/5/18 09:47,3388,3389,3386.3,TRUE,1,0,0,2770,12770,0,1.277,1.277
12/5/18 09:48,3391,3389.2,3386.9,TRUE,1,0,30,2800,12800,0.002349256,1.28,1.28
12/5/18 09:49,3390,3389.4,3387.4,TRUE,1,0,-10,2790,12790,-0.00078125,1.279,1.279
12/5/18 09:50,3391,3389.6,3387.8,TRUE,1,0,10,2800,12800,0.000781861,1.28,1.28
12/5/18 09:51,3387,3389.4,3388,TRUE,1,0,-40,2760,12760,-0.003125,1.276,1.276
12/5/18 09:52,3391,3390,3388.55,TRUE,1,0,40,2800,12800,0.003134796,1.28,1.28
12/5/18 09:53,3394,3390.6,3389.1,TRUE,1,0,30,2830,12830,0.00234375,1.283,1.283
12/5/18 09:54,3398,3392.2,3389.9,TRUE,1,0,40,2870,12870,0.003117693,1.287,1.287
12/5/18 09:55,3397,3393.4,3390.4,TRUE,1,0,-10,2860,12860,-0.000777001,1.286,1.286
12/5/18 09:56,3403,3396.6,3391.3,TRUE,1,0,60,2920,12920,0.00466563,1.292,1.292
12/5/18 09:57,3399,3398.2,3391.85,TRUE,1,0,-40,2880,12880,-0.003095975,1.288,1.288
12/5/18 09:58,3399,3399.2,3392.4,TRUE,1,0,0,2880,12880,0,1.288,1.288
12/5/18 09:59,3397,3399,3392.65,TRUE,1,0,-20,2860,12860,-0.001552795,1.286,1.286
12/5/18 10:00,3391,3397.8,3392.6,TRUE,1,0,-60,2800,12800,-0.00466563,1.28,1.28
12/5/18 10:01,3391,3395.4,3392.7,TRUE,1,0,0,2800,12800,0,1.28,1.28
12/5/18 10:02,3391,3393.8,3392.75,TRUE,1,0,0,2800,12800,0,1.28,1.28
12/5/18 10:03,3391,3392.2,3392.8,FALSE,-1,0,0,2800,12800,0,1.28,1.28
12/5/18 10:04,3393,3391.4,3393,FALSE,-1,0,-20,2780,12780,-0.0015625,1.278,1.278
12/5/18 10:05,3392,3391.6,3393.1,FALSE,-1,0,10,2790,12790,0.000782473,1.279,1.279
12/5/18 10:06,3395,3392.4,3393.45,FALSE,-1,0,-30,2760,12760,-0.002345582,1.276,1.276
12/5/18 10:07,3393,3392.8,3393.7,FALSE,-1,0,20,2780,12780,0.001567398,1.278,1.278
12/5/18 10:08,3392,3393,3393.75,FALSE,-1,0,10,2790,12790,0.000782473,1.279,1.279
12/5/18 10:09,3388,3392,3393.65,FALSE,-1,0,40,2830,12830,0.003127443,1.283,1.283
12/5/18 10:10,3389,3391.4,3393.55,FALSE,-1,0,-10,2820,12820,-0.000779423,1.282,1.282
12/5/18 10:11,3391,3390.6,3393.75,FALSE,-1,0,-20,2800,12800,-0.001560062,1.28,1.28
12/5/18 10:12,3392,3390.4,3393.8,FALSE,-1,0,-10,2790,12790,-0.00078125,1.279,1.279
12/5/18 10:13,3396,3391.2,3393.9,FALSE,-1,0,-40,2750,12750,-0.003127443,1.275,1.275
12/5/18 10:14,3397,3393,3393.85,FALSE,-1,0,-10,2740,12740,-0.000784314,1.274,1.274
12/5/18 10:30,3404,3396,3394.2,TRUE,1,-140,70,2670,12670,-0.005494505,1.267,1.267
12/5/18 10:31,3406,3399,3394.35,TRUE,1,0,20,2690,12690,0.001578532,1.269,1.269
12/5/18 10:32,3403,3401.2,3394.55,TRUE,1,0,-30,2660,12660,-0.002364066,1.266,1.266
12/5/18 10:33,3407,3403.4,3394.95,TRUE,1,0,40,2700,12700,0.003159558,1.27,1.27
12/5/18 10:34,3409,3405.8,3395.55,TRUE,1,0,20,2720,12720,0.001574803,1.272,1.272
12/5/18 10:35,3414,3407.8,3396.7,TRUE,1,0,50,2770,12770,0.003930818,1.277,1.277
12/5/18 10:36,3414,3409.4,3397.85,TRUE,1,0,0,2770,12770,0,1.277,1.277
12/5/18 10:37,3413,3411.4,3398.95,TRUE,1,0,-10,2760,12760,-0.000783085,1.276,1.276
12/5/18 10:38,3410,3412,3399.9,TRUE,1,0,-30,2730,12730,-0.002351097,1.273,1.273
12/5/18 10:39,3406,3411.4,3400.55,TRUE,1,0,-40,2690,12690,-0.003142184,1.269,1.269
12/5/18 10:40,3405,3409.6,3401.2,TRUE,1,0,-10,2680,12680,-0.000788022,1.268,1.268
12/5/18 10:41,3402,3407.2,3401.55,TRUE,1,0,-30,2650,12650,-0.002365931,1.265,1.265
12/5/18 10:42,3406,3405.8,3402.2,TRUE,1,0,40,2690,12690,0.003162055,1.269,1.269
12/5/18 10:43,3408,3405.4,3403,TRUE,1,0,20,2710,12710,0.001576044,1.271,1.271
12/5/18 10:44,3409,3406,3404.05,TRUE,1,0,10,2720,12720,0.000786782,1.272,1.272
12/5/18 10:45,3407,3406.4,3404.95,TRUE,1,0,-20,2700,12700,-0.001572327,1.27,1.27
12/5/18 10:46,3410,3408,3405.9,TRUE,1,0,30,2730,12730,0.002362205,1.273,1.273
12/5/18 10:47,3417,3410.2,3407.15,TRUE,1,0,70,2800,12800,0.005498822,1.28,1.28
12/5/18 10:48,3415,3411.6,3408.1,TRUE,1,0,-20,2780,12780,-0.0015625,1.278,1.278
12/5/18 10:49,3414,3412.6,3408.95,TRUE,1,0,-10,2770,12770,-0.000782473,1.277,1.277
12/5/18 10:50,3414,3414,3409.45,TRUE,1,0,0,2770,12770,0,1.277,1.277
12/5/18 10:51,3416,3415.2,3409.95,TRUE,1,0,20,2790,12790,0.001566171,1.279,1.279
12/5/18 10:52,3413,3414.4,3410.45,TRUE,1,0,-30,2760,12760,-0.002345582,1.276,1.276
12/5/18 10:53,3413,3414,3410.75,TRUE,1,0,0,2760,12760,0,1.276,1.276
12/5/18 10:54,3415,3414.2,3411.05,TRUE,1,0,20,2780,12780,0.001567398,1.278,1.278
12/5/18 10:55,3415,3414.4,3411.1,TRUE,1,0,0,2780,12780,0,1.278,1.278
12/5/18 10:56,3410,3413.2,3410.9,TRUE,1,0,-50,2730,12730,-0.003912363,1.273,1.273
12/5/18 10:57,3408,3412.2,3410.65,TRUE,1,0,-20,2710,12710,-0.001571092,1.271,1.271
12/5/18 10:58,3408,3411.2,3410.55,TRUE,1,0,0,2710,12710,0,1.271,1.271
12/5/18 10:59,3404,3409,3410.45,FALSE,-1,-80,40,2670,12670,-0.003147128,1.267,1.267
12/5/18 11:00,3407,3407.4,3410.55,FALSE,-1,0,-30,2640,12640,-0.002367798,1.264,1.264
12/5/18 11:01,3405,3406.4,3410.7,FALSE,-1,0,20,2660,12660,0.001582278,1.266,1.266
12/5/18 11:02,3406,3406,3410.7,FALSE,-1,0,-10,2650,12650,-0.000789889,1.265,1.265
12/5/18 11:03,3405,3405.4,3410.55,FALSE,-1,0,10,2660,12660,0.000790514,1.266,1.266
12/5/18 11:04,3411,3406.8,3410.65,FALSE,-1,0,-60,2600,12600,-0.004739336,1.26,1.26
12/5/18 11:05,3408,3407,3410.7,FALSE,-1,0,30,2630,12630,0.002380952,1.263,1.263
12/5/18 11:06,3399,3405.8,3410.15,FALSE,-1,0,90,2720,12720,0.007125891,1.272,1.272
12/5/18 11:07,3400,3404.6,3409.3,FALSE,-1,0,-10,2710,12710,-0.000786164,1.271,1.271
12/5/18 11:08,3401,3403.8,3408.6,FALSE,-1,0,-10,2700,12700,-0.000786782,1.27,1.27
12/5/18 11:09,3399,3401.4,3407.85,FALSE,-1,0,20,2720,12720,0.001574803,1.272,1.272
12/5/18 11:10,3402,3400.2,3407.25,FALSE,-1,0,-30,2690,12690,-0.002358491,1.269,1.269
12/5/18 11:11,3402,3400.8,3406.55,FALSE,-1,0,0,2690,12690,0,1.269,1.269
12/5/18 11:12,3400,3400.8,3405.9,FALSE,-1,0,20,2710,12710,0.001576044,1.271,1.271
12/5/18 11:13,3400,3400.6,3405.25,FALSE,-1,0,0,2710,12710,0,1.271,1.271
