datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
2020/4/17 10:35,3846.2,3847.36,3843.86,TRUE,1,0,-2,-164,9836,-0.000203293,0.9836,0.9836
2020/4/17 10:36,3845,3846.92,3844.38,TRUE,1,0,-12,-176,9824,-0.001220008,0.9824,0.9824
2020/4/17 10:37,3843.6,3845.64,3844.4,TRUE,1,0,-14,-190,9810,-0.001425081,0.981,0.981
2020/4/17 10:38,3842.8,3844.8,3844.44,TRUE,1,0,-8,-198,9802,-0.000815494,0.9802,0.9802
2020/4/17 10:39,3842.6,3844.04,3844.49,FALSE,-1,-4,2,-200,9800,-0.00020404,0.98,0.98
2020/4/17 10:40,3845.2,3843.84,3844.54,FALSE,-1,0,-26,-226,9774,-0.002653061,0.9774,0.9774
2020/4/17 10:41,3845.6,3843.96,3844.69,FALSE,-1,0,-4,-230,9770,-0.000409249,0.977,0.977
2020/4/17 10:42,3844.6,3844.16,3844.8,FALSE,-1,0,10,-220,9780,0.001023541,0.978,0.978
2020/4/17 10:43,3844.8,3844.56,3845,FALSE,-1,0,-2,-222,9778,-0.000204499,0.9778,0.9778
2020/4/17 10:44,3843.2,3844.68,3844.98,FALSE,-1,0,16,-206,9794,0.001636326,0.9794,0.9794
2020/4/17 10:45,3843.4,3844.32,3844.9,FALSE,-1,0,-2,-208,9792,-0.000204207,0.9792,0.9792
2020/4/17 10:46,3843.6,3843.92,3845.02,FALSE,-1,0,-2,-210,9790,-0.000204248,0.979,0.979
2020/4/17 10:47,3843,3843.6,3845,FALSE,-1,0,6,-204,9796,0.00061287,0.9796,0.9796
2020/4/17 10:48,3842.4,3843.12,3844.96,FALSE,-1,0,6,-198,9802,0.000612495,0.9802,0.9802
2020/4/17 10:49,3841.2,3842.72,3844.69,FALSE,-1,0,12,-186,9814,0.00122424,0.9814,0.9814
2020/4/17 10:50,3835.4,3841.12,3844.16,FALSE,-1,0,58,-128,9872,0.005909925,0.9872,0.9872
2020/4/17 10:51,3832.6,3838.92,3843.43,FALSE,-1,0,28,-100,9900,0.002836305,0.99,0.99
2020/4/17 10:52,3834,3837.12,3842.63,FALSE,-1,0,-14,-114,9886,-0.001414141,0.9886,0.9886
2020/4/17 10:53,3835.8,3835.8,3842.07,FALSE,-1,0,-18,-132,9868,-0.001820757,0.9868,0.9868
2020/4/17 10:54,3838.6,3835.28,3841.68,FALSE,-1,0,-28,-160,9840,-0.002837454,0.984,0.984
2020/4/17 10:55,3839,3836,3841.32,FALSE,-1,0,-4,-164,9836,-0.000406504,0.9836,0.9836
2020/4/17 10:56,3837.8,3837.04,3840.96,FALSE,-1,0,12,-152,9848,0.001220008,0.9848,0.9848
2020/4/17 10:57,3835.8,3837.4,3840.57,FALSE,-1,0,20,-132,9868,0.002030869,0.9868,0.9868
2020/4/17 10:58,3835.6,3837.36,3840.21,FALSE,-1,0,2,-130,9870,0.000202675,0.987,0.987
2020/4/17 10:59,3837.2,3837.08,3839.94,FALSE,-1,0,-16,-146,9854,-0.001621074,0.9854,0.9854
2020/4/17 11:00,3836.6,3836.6,3839.51,FALSE,-1,0,6,-140,9860,0.00060889,0.986,0.986
2020/4/17 11:01,3839.6,3836.96,3839.21,FALSE,-1,0,-30,-170,9830,-0.003042596,0.983,0.983
2020/4/17 11:02,3840.4,3837.88,3839,FALSE,-1,0,-8,-178,9822,-0.000813835,0.9822,0.9822
2020/4/17 11:03,3837.8,3838.32,3838.65,FALSE,-1,0,26,-152,9848,0.002647119,0.9848,0.9848
2020/4/17 11:04,3838.6,3838.6,3838.42,TRUE,1,-16,8,-160,9840,-0.000812348,0.984,0.984
2020/4/17 11:05,3838.8,3839.04,3838.19,TRUE,1,0,2,-158,9842,0.000203252,0.9842,0.9842
2020/4/17 11:06,3840.8,3839.28,3838.05,TRUE,1,0,20,-138,9862,0.002032107,0.9862,0.9862
